Model,DPO4104B
Firmware Version,1.38

Waveform Type,Analog,Analog,Analog,Analog
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,2e-09,,,
Horizontal Delay,5.7e-09,5.7e-09,5.7e-09,5.7e-09
Sample Interval,2e-10,,,
Record Length,1000,,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,0.1,0.1,0.1,0.1
Vertical Position,-3.88,-3.98,-3.8,-3.96
Label,,,,
TIME,CH1,CH2,CH3,CH4
-5.470e-08,-0.004,-0.002,-0.008,0.012
-5.450e-08,0,-0.006,-0.008,0.004
-5.430e-08,-0.008,-0.006,-0.004,0
-5.410e-08,-0.008,-0.006,-0.008,0.004
-5.390e-08,-0.008,-0.01,-0.008,0.004
-5.370e-08,-0.004,-0.002,-0.008,0.004
-5.350e-08,-0.004,-0.002,-0.004,0.008
-5.330e-08,-0.004,0.002,-0.004,0.008
-5.310e-08,-0.008,-0.002,4.44089e-17,0.004
-5.290e-08,0,-0.002,-0.008,0
-5.270e-08,0,-0.002,-0.008,0
-5.250e-08,-0.004,0.002,-0.004,0.004
-5.230e-08,-0.004,-0.01,4.44089e-17,0.008
-5.210e-08,0,-0.002,-0.004,0.008
-5.190e-08,-0.004,0.002,-0.004,-0.004
-5.170e-08,0,-0.002,-0.008,0.004
-5.150e-08,-0.004,-0.014,-0.008,0.008
-5.130e-08,-0.008,-0.006,-0.012,0.004
-5.110e-08,-0.008,-0.006,-0.012,0.008
-5.090e-08,-0.004,-0.01,-0.012,0
-5.070e-08,-0.008,-0.014,-0.004,0
-5.050e-08,-0.004,-0.006,-0.004,0
-5.030e-08,-0.012,-0.002,-0.004,0.008
-5.010e-08,0,-0.002,-0.008,0.012
-4.990e-08,0,-0.01,-0.008,0.008
-4.970e-08,-0.004,-0.002,-0.012,0.008
-4.950e-08,-0.008,-0.006,-0.004,0.004
-4.930e-08,-0.004,-0.002,-0.004,0.008
-4.910e-08,0,-0.002,0.004,0.004
-4.890e-08,0,-0.002,-0.012,0.008
-4.870e-08,-0.008,-0.002,-0.004,0.004
-4.850e-08,-0.004,0.002,-0.008,0
-4.830e-08,-0.004,-0.002,0.004,0.004
-4.810e-08,0,0.002,-0.004,0
-4.790e-08,-0.004,-0.002,-0.004,0
